Word,valence,arousal,dominance
commemorate,5.74,2.76,5.7
commemorative,5.84,4.3,5.39
commence,5.32,3.81,5.95
commend,7,3.23,6.14
commendable,6.76,3.75,6.68
commendation,6.19,4.71,4.75
comment,5.65,3.56,5.96
commentary,5.5,3.5,5.45
commentator,5.11,4.1,5.17
commerce,5.21,3.95,4.85
commercial,4.11,4.43,4.35
commie,3.86,4.76,4.22
commissary,5,3.36,5.95
commission,5.81,4.59,5.38
commissioner,4.68,3.25,5.65
commit,5.85,3.5,6.63
commitment,6.33,4.26,6
committee,5.52,3.56,5.56
commodity,5.86,3.75,5.38
commodore,4.82,3.05,5.14
common,5.94,2.43,5.83
commoner,4.42,3.05,5.05
commonplace,5.48,3,5.47
commotion,4.1,3.73,4.3
communal,5.47,3,4.89
commune,5,3.77,5.24
communicate,6.28,3.79,6.8
communication,6.73,4.16,6.43
communicator,5.42,3.33,5.39
communion,5.37,3.5,4.71
communism,2.94,5.1,3.12
communist,3.22,5.1,4.12
community,6.09,3.8,7.11
commute,4.14,3.15,4.59
commuter,4.63,3.6,5.68
comp,6.16,3.52,5.74
compact,4.95,3.75,5
companion,7.25,4.06,6.09
companionship,7.9,5.05,6
company,5.64,3.29,5
comparable,5.4,4,5.95
comparative,5.05,3.91,6.56
compare,5.09,3.78,6.37
comparison,5.11,2.92,5.64
compartment,5.36,3.57,4.89
compass,5.75,2.85,5.75
compassion,7.9,4.5,6.36
compassionate,7.95,4.73,6.86
compatibility,6.5,5.32,5.5
compatible,6.29,4.04,6.29
compel,4.89,4.33,5.59
compelling,6,5.14,6
compensate,6.36,5.47,6.2
compensation,6.55,4.73,6.63
compete,5.35,4.4,5.68
competence,6.15,3.72,6.5
competent,6.05,4.09,6.44
competition,5.33,5.75,5.14
competitive,5.45,5.7,5.5
competitor,4.45,6.32,5.68
compile,5.21,3.75,5.82
complacent,4.53,3.71,5
complain,3.1,5.18,5.1
complaint,3.21,4.29,3.75
complement,6.7,5.9,6.77
complete,6.5,2.57,7.17
completion,7.38,4.24,7.73
complex,4.21,4.6,5.25
complexion,5.42,4.55,5.21
complexity,5.37,5.13,5.84
compliance,5.18,2.85,3.4
complicate,3.3,4.95,4.52
complicated,3.82,5.75,5.79
complication,3.05,4.55,3.83
complicity,4.45,3.59,5.56
compliment,7.24,5.9,6.14
complimentary,6.9,5.15,5.92
comply,4.25,2.68,4.7
component,5.62,4.27,5.74
compose,5.64,3.85,5.8
composer,6.42,3.36,5.59
composite,4.89,3.55,5.35
composition,5.52,3.4,5.89
compost,5.47,2.71,4.52
compound,5.62,3.5,5.45
comprehend,6.57,3.94,6.73
comprehension,6.24,3.33,6.1
comprehensive,6.79,3.6,6.08
compress,4.85,5,4.88
compressed,4,3.57,4.83
compression,4.79,4.19,4.77
compressor,5.32,3.62,5.13
compromise,5.62,3.36,6.37
compulsion,3.95,4.89,3
compulsive,4.5,4.67,4.35
compulsory,4.16,3.72,4.06
compute,5.74,3.45,6.68
computer,6.84,4.92,6.58
computerized,6.37,4.25,5.84
computing,6.09,3.67,6.6
comrade,7.3,4.25,5.68
con,3.21,4.52,3.95
conceal,3.95,3.74,6.05
concealment,4.21,4.45,5.09
concede,4.48,2.73,4.78
conceit,3.75,4.1,4.04
conceited,2.75,6.58,4.92
conceivable,5.6,4.41,6.53
conceive,5.63,4.95,5.92
concentrate,6.46,5.11,6.67
concentration,5.45,4,6.63
concept,4.89,2.9,5.37
conception,6,6.09,4.44
concern,5.05,4.7,5.55
concerned,4.61,3.95,4.61
concert,7,5.17,5.4
concerto,5.7,3.14,5.67
concession,5.32,3.71,5.8
conch,5.37,3.48,5.14
concierge,5.35,3.39,5.07
concise,5.47,3.3,5.47
conclude,4.81,2.57,5.85
conclusion,4.8,3.95,6.63
conclusive,5.32,3.92,6.79
concoction,5.52,4.16,5.63
concourse,4.9,3.71,5.2
concrete,4.82,3.63,5.9
concubine,3.53,5.33,4.91
concur,6,3.6,5.29
concussion,3.45,3.96,3.74
condemn,2.62,5.33,4.17
condemnation,3.15,4.1,3.18
condensed,4.38,4.05,5
condescending,3.8,5.27,4.38
condition,4.32,4.15,6.53
conditioner,5.84,3,6.38
conditioning,4.89,3.77,5.96
condo,6.47,3.8,5.75
condom,5.44,5.38,6.26
condone,5.1,3.57,5.48
condor,4.76,3.55,6.06
conducive,5.39,3.85,5.78
conduct,5.21,3.64,6.12
conductor,5.5,4.24,5.47
conduit,4.5,3.48,5.48
cone,6.1,3.36,5.72
confederacy,4.15,3.75,3.9
confederate,4.5,3.95,5.28
confer,5.09,2.48,4.76
conference,5.1,2.95,4.88
confess,4.85,4.67,5.53
confession,5.47,4.59,5.18
confessional,4.62,4.35,4.43
confetti,6.26,5.57,5.57
confidant,7.15,4.25,6.82
confide,6.21,3.43,6.42
confidence,6.71,4.04,6.5
confident,7.56,4.62,7.04
confidential,6.05,4.5,5
confidentiality,5.82,4.64,6.16
configuration,4.58,3.45,5.45
confine,3,3.96,3.83
confinement,4.05,4.83,2.46
confirm,5.76,3.38,6.56
confirmation,5.71,3.83,5.55
confiscate,3.59,5.68,4.24
conflict,3.05,5.41,4.11
conflicting,3.5,4.91,3.86
conform,4.78,3.9,3.67
confound,3.85,4.38,4.88
confounded,4.32,4.38,4.07
confront,4.59,6.11,5.9
confrontation,2.57,5.16,4.17
confuse,4.5,3.95,4.39
confused,3.11,4.28,4.13
confusing,3,5.09,3.95
confusion,3.32,4.64,3.08
conga,5.9,4.57,4.76
congenital,4.11,4.13,3.58
congestion,3.25,4.24,3.4
conglomerate,5,4.68,4.63
congrats,6.94,4.05,5.96
congratulate,6.33,4.77,7
congratulation,7.3,6.05,6.68
congratulations,7.33,5.55,6.72
congregation,5.16,3.2,5
congress,3.55,3.61,3.48
congressional,4.29,3.82,4.05
congressman,3.71,4.09,3.67
conjecture,4.71,3.64,4.67
conjugal,4.84,4.72,5.47
conjunction,5.19,4.25,5.55
conjure,5.05,4.57,5.27
conk,4.47,4,5.4
connect,6.61,3.47,5.96
connection,6,4.45,7.21
connoisseur,5.85,3.68,6.53
conquer,4.29,5.23,5.67
conquering,4.58,5.75,5.55
conqueror,5.1,5.28,5.95
conquest,5.9,5.67,6.09
conscience,5.9,3.95,5.41
conscientious,6.05,3,6.54
conscious,5.53,4.3,6.05
consciousness,6.48,3.33,7.37
consecrated,4.81,3.7,4.95
consecutive,4.75,3.11,5.29
consensual,6.3,5.24,6.54
consensus,5.74,3,5.38
consent,6.42,3.88,6.58
consenting,5.47,3.8,5.8
consequence,3.86,4.31,4.67
conservation,5.2,3.17,5.79
conservative,4.55,2.65,4.82
conservatory,5.18,3.65,5.74
conserve,5.9,3.75,5.86
consider,6.56,2.71,6.06
considerable,6,3.86,6.52
considerate,7.2,3.67,6.4
consideration,6.4,3.45,7.11
consignment,5.58,4.17,3.89
consist,5.21,3.14,5.25
consistency,6.1,2.73,6.19
consistent,6.43,3.19,6.77
consolation,5.47,3.35,4.71
console,6.53,4.09,5.79
consoled,6.44,2.58,5.86
consolidate,4.8,4.05,4.73
consolidated,4.5,3.8,5.54
consort,5.1,4.24,5.59
conspicuous,4.05,3.87,3.94
conspiracy,3.42,5.74,3.64
conspire,3.9,4.48,4.32
constable,5.2,3.1,5.23
constant,5.9,2.81,6.36
constellation,6.24,4.35,5.14
constipation,2.45,3.83,3.27
constituency,4.1,2.61,5.56
constitute,4.57,3.18,5.5
constitution,5.47,3.35,5.4
constitutional,5.68,3.86,5.41
construct,5.4,4.33,5.36
construction,5.53,3.73,5.74
constructive,5.81,4.17,6.58
consul,4.39,3.41,6.52
consulate,4.53,2.5,4.68
consult,5.41,3.77,5.83
consultant,6.05,2.76,5.68
consultation,5.29,4.84,5.32
consume,5.48,4,6.18
consumer,5.95,3.82,5.21
consummate,6.1,3.95,5.59
consumption,4.65,3.76,6
contact,6.17,3.33,5.78
contagion,2.85,5.94,3.62
contagious,3.05,5.25,3.9
contain,5,3,5.68
container,5.7,3.57,6
containment,4.37,5.53,4.17
contaminate,3.53,5.67,4.26
contamination,3.11,6.71,3.78
contemplate,5.48,3.16,5.68
contemporary,5.95,3.81,5.43
contempt,3.22,4.61,4.45
contend,5.37,4.33,5.28
contender,5,3.32,5.91
content,6.7,3.17,5.92
contention,4.19,4.29,3.85
contentment,6.62,4.6,6.58
contents,5.79,4.46,5.76
contest,5.85,3.77,4.93
contestant,4.5,4.5,5.74
context,5,3.18,5.6
continent,6.05,3.24,5.16
continental,5.4,3.38,5.04
contingency,4.67,3.22,5.22
contingent,4.85,3.9,5.08
continuance,5.26,3.57,5.13
continuation,5.23,3.84,6.38
continue,5.61,2.9,6.17
continuity,5.71,2.32,6.44
continuous,5.33,3.27,5.77
continuum,5.15,3.95,5.36
contraband,3.58,5.81,4.61
contraception,6.1,4.91,5.25
contract,5.1,3.95,6.84
contraction,4.33,5.9,3.95
contractor,4.7,4.26,5.48
contradict,3.58,4.25,4.83
contradiction,3.79,5,5.21
contradictory,3.75,4.27,5.3
contraption,5.11,4.32,5.67
contrary,4.5,3.71,5.36
contrast,5.3,4.23,6.3
contribute,6.15,3.58,6.96
contribution,6.58,3.18,7
contrition,4.4,3.88,4.93
control,4.43,4.76,5.47
controller,4.43,4.08,6.16
controlling,3.45,5.69,5.29
controversial,4.73,6.26,4.71
controversy,3.21,6.09,3.75
contusion,3.9,5.95,4.35
conundrum,3.95,3.27,3.96
convene,5,4.05,6
convenience,7.14,3.5,5.5
convenient,7.15,3.48,5.08
convent,5.05,3.86,4.25
convention,5,3.67,4.65
conventional,5.47,3.77,5.68
converge,4.53,4.24,5.61
conversation,6.72,2.65,6.28
conversational,6.32,3.38,5.43
conversationalist,5.94,3.9,5.88
converse,5.37,4.25,6.05
conversion,5.59,4.79,5.29
convert,5.11,3.65,5.42
convertible,6.79,4.72,6.21
convey,5.1,3.83,5.1
convict,2.28,4.95,4.08
conviction,3.89,4.67,5.62
convince,5.45,4.39,6.44
convincing,5.6,4.21,6.82
convoy,5.4,3.87,5.54
coo,5.9,4.17,5.07
cook,7.12,4.33,6.25
cookbook,6.45,3.45,5.95
cooker,5.52,3,5.67
cookie,7.32,4.7,6.1
cooking,6.77,4.19,7.27
cookout,7.11,4.86,6.3
cool,6.82,3.43,6.44
coolant,5.21,3.45,5.9
cooler,6.1,3.83,5.92
coon,4.32,3.86,4.26
cooperate,6.39,3.83,6.18
cooperation,6.62,3.32,6.83
cooperative,6.62,3.43,6.72
coordinate,5.5,4.59,6.95
coordination,6.11,3.45,6.52
coordinator,5.43,4.41,5.75
cop,4.5,4.9,2.83
copacetic,4.56,3.45,6.5
cope,5.1,4.1,5.95
copier,4.95,3.17,6.16
copilot,5.79,4.1,4.45
copper,5.6,4.14,6.19
copter,4.86,4.7,4.05
copy,5.22,3.15,4.67
copycat,3.33,4.62,4.67
copyright,4.43,2.96,5.5
coral,6.42,3.18,5.5
coral snake,4,6.28,4
cord,5.38,4.2,5.47
cordial,6.39,3.1,5.4
cordless,6.45,4.05,5.9
cordon,5.22,2.55,4.48
corduroy,5.79,3.45,4.82
core,6.19,3.24,5.89
cork,4.93,3.92,4.7
corkscrew,5.26,3.76,4.96
corn,5.95,3.43,5.65
cornball,5.55,3.17,5.1
cornbread,6.47,3.5,6.08
corned,4.61,3.59,4.54
corner,4.83,3.38,4.88
cornerstone,5.9,3.33,6.32
cornfield,5.05,3.73,5.32
cornflakes,6.37,3.3,5.7
corny,5,3,4.94
coronary,2.62,4.67,4.4
coronation,4.6,4.5,5.13
coroner,3,3.61,3.28
corporal,4.63,3.5,4.9
corporate,4.9,4.74,5.05
corporation,3.82,4.73,4.47
corporeal,4,3.5,4.42
corps,4.24,3.52,4.69
corpse,2.45,4.89,3.23
corpsman,4.05,3.91,4.7
corral,4.5,3.71,5.35
correct,6.94,3.48,7.06
correction,4.05,4.37,6.05
correctional,4.09,4.86,5.05
corrective,4.95,4.05,5.16
correlation,5.09,3.23,5.25
correspond,5.75,3.48,6.76
correspondence,6.59,5.05,5.71
correspondent,5.32,3.55,5.29
corresponding,5.1,4.52,5.95
corridor,4.76,3.53,5.35
corroborate,5.5,3.88,5.41
corrupt,3,5.98,3.7
corruption,3,4.86,3.63
corsage,6.3,3.4,5.55
corset,5.81,5.75,4.71
cortex,5.2,3.67,5.5
cortisone,4.42,3.39,5.06
cosmetic,5.09,4.87,5.74
cosmic,7.11,5.39,4.84
cosmopolitan,5.8,3.86,5.65
cosmos,6.5,4.27,4.14
cost,4.11,4.9,3.67
costly,3,4.08,4.68
costume,6.05,4.78,6.36
cot,5.37,2.95,5.07
cottage,6.63,2.95,6.08
cotton,6.05,2.48,6.24
couch,6.52,3.4,6.19
cougar,5.67,5.7,4.24
cough,3.57,4.5,4.25
council,5,3.86,5.21
councilman,4.19,3.26,5.12
counsel,5.48,2.86,5.19
counseling,5.9,3.4,4.2
counselor,5.71,3.45,4.91
count,5.89,2.3,5.17
countdown,5.64,6.47,4.76
countenance,4.77,3.35,5.83
counter,5.22,2.47,5.16
counteract,4.73,4.27,5.1
counterattack,4.16,5.83,5.16
counterfeit,3.16,4.18,3
counterpart,5.38,3.4,5.57
counterpoint,5.24,4.4,5.53
countess,5.85,3.55,6.41
countless,4.8,4.22,4.14
country,6.14,3.71,6.35
countryside,6.94,2.7,5.8
county,5.18,3.4,7
coup,4.74,4.64,5
coupe,5.05,3.74,5.32
couple,7.11,4.95,5.61
coupling,5.4,4.61,5.68
coupon,6.3,4.22,5.54
courage,7.67,5,7.27
courageous,8.05,5.5,7.38
courier,5.5,3.67,5.79
court,3.52,4.43,3.94
courteous,7.05,3.95,7.26
courtesy,6.79,4.3,5.96
courthouse,4.61,4.2,3.5
courtroom,2.84,4.67,3.45
courtship,6,5.38,5.37
courtside,6,4.24,6
courtyard,5.53,3.43,5.05
cousin,6.11,2.6,5.28
cove,5.67,3.17,6.06
coven,5.43,4.8,4.78
covenant,5.21,4,5.35
cover,5.59,3.76,5.78
coverage,5.77,3.19,5.96
covert,3.79,4.32,4.96
covet,4.48,4.04,5
coveted,5.95,4.88,4.39
cow,5.42,2.95,5.24
coward,2.42,4.09,4.09
cowardice,3.05,4.25,3.64
cowardly,2.85,5.14,3.85
cowboy,5.43,4.43,5.67
cowgirl,6.11,5.3,5.63
cowhand,4.65,3.33,5.44
coworker,5,3.57,4.55
coy,5.5,3.72,5.5
coyote,4.05,5.55,4.38
cozy,7.28,3.56,6.69
crab,5.81,4.13,4.52
crabby,3.16,6,5.09
crack,2.68,5.25,5.42
cracker,5.11,3.64,5.26
crackerjack,7.21,5.13,4.94
crackle,5.53,5.27,4.86
crackpot,3.38,5.1,4.05
cradle,6.1,3.67,4.86
craft,6.38,4.04,6.36
craftsman,6.71,4.11,6.23
craftsmanship,6.89,4.52,6.3
crafty,5.73,5.04,6.29
cram,4.68,4.19,5.18
cramp,2.91,4.73,4.5
cranberry,6.36,3.64,5.74
cranberry juice,6,4.25,5.86
cranial,5.37,4.62,4.83
cranium,5.81,3.55,5.15
crank,3.85,4.67,5.17
cranky,3,4.71,4.36
cranny,4.68,3.46,4.61
crap,3.44,4.62,4.11
crappy,2.35,5.26,3.92
crash,2.9,4.55,3.3
crass,3.73,4.73,5.11
crate,4.8,2.72,5.45
crater,5.15,4.84,4.79
crave,5.41,5.04,5
crawl,3.95,3.62,4.95
crayon,5.76,2.91,5.93
craze,5.33,6.45,5.22
crazed,3.5,6.25,4.06
craziness,3.82,6.83,4.32
crazy,5.14,5.9,4.19
creak,4.68,4.4,4.61
creaking,4.55,4.77,5.38
cream,6.56,3.8,6.11
creamed,6.1,4.75,5.56
creamer,5.47,2.81,6.09
creamy,6.48,3.12,6.06
crease,4.86,4,5.63
create,7.86,6.26,7
creation,6.85,5.35,6.38
creative,7.06,4.86,6.78
creativity,7.73,5.3,6.79
creator,6.45,4.89,6.12
creature,6.06,4.77,4.82
credence,5.79,4.64,5.26
credibility,7,4.05,5.92
credible,6.95,3.95,6.05
credit,5,4.38,5
credit card,5.55,4.52,5.15
creed,5.25,3.67,4.45
creek,6.32,2.67,5
creep,2.95,4.78,4.63
creeper,3.61,5.68,3.86
creepy,2.52,5.54,4.33
cremation,4,5.29,4.05
crepe,6.48,3.62,5.55
crescendo,5.58,4.91,5.8
crescent,5.9,3.32,5.81
crest,4.9,3.39,6.06
cretin,4.47,3.71,4.95
crevice,4.67,4.58,4.62
crew,5.83,3.38,5
crewman,5.14,3.2,4.91
crib,6.43,4.26,4.77
cricket,5.71,3.22,4.88
crime,1.95,5.68,3.31
criminal,2.11,4.49,4.09
crimp,4.95,3.41,4.37
crimson,5.67,4.52,5.04
cringe,3.24,5.85,3.57
cripple,2.47,4.05,2.61
crippling,2.71,4.88,2.74
crisis,2.05,6.29,3.77
crisp,5.23,3.95,6.14
crispy,6.18,5,6.08
critic,4.1,4.25,4.86
critical,3.95,4.95,4.22
criticism,3.84,5.95,4.17
criticize,2.41,5.27,4.7
critique,4.8,3.85,6
critter,5.4,4.05,4.43
croak,3.29,4.52,3.58
croc,4,5.06,4.79
crock,5.1,4.32,5.58
crocodile,3.15,6.48,3.47
croissant,7,4.5,6.04
crook,2.86,4.62,3.82
crooked,3.17,4.18,3.18
crop,5.88,3.19,5.09
croquet,5.63,3.5,5.64
cross,5.67,3.05,4
cross country,5.8,4.65,5.96
crossbow,4.91,5.38,5.96
crossfire,4.16,5.9,4.65
crossover,5.44,3.95,5.7
crosswalk,5.25,3.52,5.88
crossword,6.58,3.74,5.84
crotch,4.62,4.96,5
crouch,4.79,4.05,4.87
crow,4.32,3.55,5.4
crowbar,4.81,3.61,5.45
crowd,4.48,5.15,5.21
crowded,3.2,3.95,3.45
crown,6,4.52,5.62
crucial,5.16,4.14,4.91
crucifix,4.1,4.19,4.8
crucifixion,2.82,5.62,3.83
crucify,2.26,5.6,3.11
crud,4.05,3.89,4.1
crude,3.24,4.51,3.35
cruel,2.73,5.07,4.78
cruelty,2.37,5.9,2.64
cruise,6.47,4.32,5.68
cruise ship,7.05,4.42,4.65
cruiser,5.32,2.9,5.7
crumb,5.14,2.95,4.62
crumble,4.25,4,4.14
crummy,3.9,4.26,4.38
crunch,4.79,4.17,5
crunchy,5.86,4.45,5.52
crusade,4.24,6.2,4.71
crusader,5.63,5.09,4.63
crush,4.72,5.6,3.96
crushed,2.87,5.07,4.24
crusher,4.8,4.65,4.29
crust,5.76,3.62,5.96
crusty,4.29,3.17,4.75
crutch,3.64,3.67,4.08
cry,3.22,5.45,2.56
crybaby,2.95,5.05,3.21
crypt,2.67,4.13,4
cryptic,3.86,5.53,4.33
crystal,6.75,4.1,6.72
cub,6.71,3.95,4.24
cubby,5,3.71,5.65
cube,4.75,3.09,5.53
cubic,4.7,3,5.6
cubicle,3.8,3.05,3.86
cuckold,3.6,3.78,4.18
cuckoo,4.79,4.57,4.53
cucumber,6.47,3.17,5.86
cuddle,7.6,3.83,6.65
cue,5.84,4.35,4.62
cuff,4.81,3.56,4.16
cuisine,6.88,4.51,5.75
culinary,6.33,4.5,5.85
culmination,5.85,3.43,5.2
culprit,2.9,5.54,3.82
cult,2.77,5.48,3.61
cultivate,5.73,3.81,6.23
cultural,6.9,4.55,5.41
culture,6.28,4.06,5.71
cultured,6.15,3.33,6.4
cunning,5.05,4.9,6.58
cunt,3.7,6.1,3.24
cup,5.94,2.6,5.28
cupboard,4.81,3.52,5.65
cupcake,6.9,4.22,5.85
curator,6.42,2.73,5.11
curb,4.65,3.59,5.47
curd,5.19,4.37,4.72
cure,7.81,4.5,5.45
curfew,4.14,4,5
curiosity,6.37,5.9,6.21
curious,6.58,5.74,6.88
curl,5.72,3.05,5.4
curling,5,4.43,5.47
currency,5.9,4.05,5.3
current,5.53,3.25,5.9
curriculum,5.3,3.56,4.08
curry,5.4,3.17,5.5
curse,2.9,5.2,5.15
curt,4.05,3.2,4.32
curtain,5.36,3.62,6.29
curtains,5.44,2.63,5.79
curtsy,6.35,4.6,5.76
curve,5.81,4.52,5.14
curved,5.24,3.91,5.7
cushion,5.9,2.76,6.44
cushy,5.95,4.23,5.81
cuss,4,6.25,5.35
custard,5.45,3.5,5.96
custodial,5.05,3.42,4.9
custodian,3.79,2.67,4.45
custody,4.74,4.14,5.54
custom,5.29,4,5.56
customary,5,3.44,4.94
customer,5.86,3.4,6.16
customized,6.91,4.87,6.58
cut,3.9,5.07,4.55
cute,7.56,5.05,6.02
cutie,7.43,4.62,5.44
cutlass,5,4.55,5.26
cutoff,3.14,3.92,5
cutter,4.05,4.35,5.88
cutthroat,3.14,5.65,4.27
cutting board,5.35,3.83,6.25
cyanide,2.7,5.72,4.92
cyberspace,5.73,5.04,5.37
cycle,5.64,4.42,5.81
cyclone,3.47,5.09,3.18
cylinder,5.45,3.14,4.57
cynic,3.45,4.68,4.81
cynical,3.3,4.78,4.95
cynicism,3.41,5,4.79
cyst,2.5,4.28,3.17
cystic,3.19,3.55,4.26
czar,4.53,4.79,4.36
dab,5,3.11,5.62
dabble,5.48,3.05,5.41
dad,7.14,4.05,6.12
daddy,7.27,4.24,5.78
daft,4.5,2.75,4.82
dagger,4.38,5.79,4.83
daily,5.74,4.2,5.38
dainty,6.42,2.7,5.2
daiquiri,5.68,4.95,5.29
dairy,6.09,3.9,6.39
daisy,7.48,3.95,5.37
dam,4.58,3.67,5.26
damage,2.98,4.86,3.46
dame,6.1,4.22,5.54
damn,4.32,5.1,4.39
damnation,3.14,5.77,3.55
damp,4.05,2.8,3.95
damper,4.3,3.59,4.55
damsel,5.74,4.44,4.29
dance,7.27,5.48,6.28
dancer,6.64,4.52,5.78
dandruff,3.05,4.41,3.57
dandy,6.55,4,6.12
danger,2.66,5.84,3.64
dangerous,2.33,6.81,2.56
dangle,4.76,4.25,3.95
dank,3.95,3,3.77
dare,4.67,5.6,4.17
daredevil,4.89,6.33,5.28
daresay,5.35,3.76,4.88
daring,6,6.14,6.04
dark,5.08,4.09,4.61
darken,4.45,3.86,5.76
darkened,3.37,3.77,3.92
darkness,4.71,4.08,4.82
darkroom,4.9,3.61,5.76
darling,7.32,3.95,5.44
darn,3.81,3.17,5.56
dart,4.76,3.87,5.61
dash,5.05,4.29,5.86
dashboard,5.25,3.15,5.32
dashing,6.62,4.28,6.05
database,4.75,3.33,6.12
date,7.18,4.33,5.11
daughter,6.73,5,5.06
dawdle,4.77,3.29,4.86
dawn,6.74,3.1,4.98
day,6.36,3.62,5.59
daybreak,7.16,3.95,5.3
daycare,5.35,3.39,4.92
daydream,7.15,3.2,6.77
daylight,6.95,4.05,5.88
daytime,7.58,4,5.58
daze,4.14,4.5,4.58
dazzle,6.46,4.96,5.88
dazzling,6.5,6.36,6.16
deacon,5.09,3.87,5.11
deactivate,3.95,4.58,6.19
dead,2.02,3.91,2.66
deadbeat,2.81,4.32,3.89
deadline,3.19,5.74,4.53
deadly,1.9,5.04,3.73
deaf,3.19,4.27,2.86
deafening,3.71,4.56,3.63
deal,6.14,3.9,6.12
dealer,4.18,5.42,5
dealership,5.15,2.9,4.41
death,1.89,5.53,3.42
deathbed,1.79,4.05,2.96
deathly,1.95,6.05,2.95
debacle,4.2,4.78,4.06
debatable,5.62,5.8,4.86
debate,4.95,4.86,5.96
debauchery,4.21,5.28,3.88
debilitating,3,4.41,3
debrief,4.59,3.61,5.58
debriefing,5.05,3.48,5.41
debris,4.2,4.23,4.68
debt,1.95,5.93,3.71
debut,5.81,3.41,5.52
debutante,5,4.23,5.81
decade,4.75,3.61,4.79
decadence,5.21,4.32,6.12
decadent,6.09,4.05,5.45
decaf,3.62,3,5.41
decathlon,4.67,4.5,5.71
decay,2.4,4.59,2.84
decaying,2.81,4.68,3.14
deceased,2.73,4.86,2.64
decedent,5.3,3.15,4.81
deceit,2.89,5.62,4.24
deceitful,2.6,5.18,4.11
deceive,2.95,5.9,4.58
decency,5.55,3.36,6.21
decent,6.27,4.15,6.74
deception,2.36,5.79,3.81
deceptive,3.73,4.95,3.86
decide,6.28,3.1,6.28
decimal,4.68,3.35,5.52
decimeter,4.82,2.5,4.76
decipher,5.09,4.39,5.68
decision,5.5,3.43,6.89
decisive,6.78,3.95,5.76
deck,5.68,3.25,5.38
declaration,5.67,4.24,5.24
declare,5.42,4.4,6.13
decline,3.19,3.6,3.71
deco,5.29,3.74,4.9
decode,5.5,4.59,6.58
decoder,6.21,3.43,5.57
decompose,2.42,4.17,3.4
decomposition,3.16,4,3.89
decompress,4.43,3.52,4.79
decompression,3.75,2.91,4.78
decontamination,4.33,4.96,5
decor,5.95,3.38,7.32
decorate,6.26,4.33,6.95
decoration,6.71,4.05,6.4
decorative,7.52,4.76,6.45
decorator,6.43,3.15,5.64
decorum,5.5,2.91,5.73
decoy,4.61,3.91,4.95
decrease,4.16,3.05,3.68
decree,5.33,3.9,4.53
decrepit,3.05,4.83,3.46
decryption,4.81,4.12,4.95
dedicate,6.48,3.35,5.73
dedication,7.38,4.36,7.18
deduce,5.29,3.04,5.67
deduct,4.24,4.11,4.86
deductible,4.71,4.29,5
deduction,5.14,3.23,5.22
deed,5.89,3,5.92
deejay,5.91,3.95,5.68
deem,4.74,3.29,5.57
deep,5.44,3.9,4.94
deer,6.89,3.95,4.89
defamation,2.9,5.62,2.56
default,4.16,4.57,4.7
defeat,3.74,4.14,3.87
defeated,2.59,4.73,2.43
defeatist,3.37,3.5,3.35
defect,2.89,4.14,3.37
defective,3.52,4.17,3.67
defector,4.35,3.75,4.52
defend,6.3,4.55,6.64
defendant,4.05,4.14,3.95
defender,5.05,3.76,4.9
defense,5.36,5.11,5.53
defenseless,2.68,4.9,3.95
defensive,4.65,4.28,4.08
defer,4.5,2.7,4.08
defiance,4.15,5.86,5.44
defiant,4.12,5.9,6.02
defibrillator,3.45,5,5.05
deficiency,2.74,4.2,4.15
deficient,3.63,3.56,3.88
deficit,2.95,4.19,4.18
define,5.57,3.95,5.31
definite,5.79,4.19,5.39
definition,5.63,3.14,5.68
definitive,5.57,3.83,5.24
deflect,5.1,3.68,5.37
deformed,2.26,4.27,3.05
deformity,3.18,4.71,3.82
defrost,4.86,3.48,5.81
deft,4.67,3,5.32
defuse,5.78,4.68,5.77
defy,4.84,5.43,5.3
degenerate,2.7,4.68,2.95
degeneration,3.48,4.18,3.67
degradation,2.85,4.26,3.39
degrade,2.62,4.95,4.4
degree,5.63,4.1,5
dehydration,3.38,4.68,3.32
delay,3.45,3,3.68
delayed,3.05,4.05,3.27
delegate,5.15,3.72,6.32
delegation,5.2,3.62,5.76
delete,4,3.71,5.39
deli,5.42,4.3,4.79
deliberate,4.8,3.48,6.12
deliberation,5.19,3.95,4.8
delicacy,7,5,5.52
delicate,6.38,3.09,5.04
delicatessen,6.4,4.45,6.54
delicious,7.38,4.92,5.8
delight,8.21,5.02,7.29
delighted,7.74,5,6.22
delightful,7.38,6.16,6.76
delinquency,2.55,5.27,4.14
delinquent,3.45,4.9,2.86
delirious,4.32,5.81,4.61
delirium,3.4,4.94,3.27
deliver,6,4.75,6.74
deliverance,5.73,3.95,6.05
delivery,6,4.04,5.37
delta,5.3,3.32,6.15
delude,3.62,3.95,4.35
deluge,4.1,4.7,4.11
delusion,3.3,4.6,3.91
delusional,3.29,5.8,3.81
deluxe,6.76,4.96,6.59
demand,4.1,5.85,5.14
demeaning,2.62,3.74,4.17
demeanor,5.32,2.9,5.3
demented,3.11,4.86,4.36
dementia,2.85,5.05,1.68
demise,3,4.18,3.17
demo,5.65,3.91,5.57
democracy,6.16,5.05,5.58
democrat,5.54,5.65,5.61
democratic,5.7,4.33,6.62
demographic,4.41,3.73,5.75
demolish,2.67,4.5,4.45
demolition,3.91,5.23,4.38
demon,3,5.34,3.4
demonic,3.05,6.24,3.52
demonstrate,5.47,4.14,6
demonstration,5.5,3.53,5.2
demure,4.55,3.35,5.81
